唉	āi	alas
递	dì	Delivery
地道	dìdao	tunnel
地理	dìlǐ	Geography
地区	dìqū	region
地毯	dìtǎn	Carpet
地位	dìwèi	status
地震	dìzhèn	earthquake
点头	diǎntóu	Nod
点心	diǎnxin	snack
电池	diànchí	Battery
电台	diàntái	radio station
钓	diào	Fishing
顶	dǐng	top
冻	dòng	freeze
洞	dòng	hole
动画片	dònghuàpiàn	Cartoon
逗	dòu	Funny
豆腐	dòufu	Bean curd
独立	dúlì	Independent
独特	dútè	unique
度过	dùguò	Spend
短信	duǎnxìn	Short message
堆	duī	heap
对比	duìbǐ	Contrast
对待	duìdài	treat
对方	duìfāng	the other party
对手	duìshǒu	Opponent
对象	duìxiàng	object
对于	duìyú	about
吨	dūn	ton
蹲	dūn	squat
多亏	duōkuī	thanks to
多余	duōyú	surplus
躲藏	duǒcáng	Hide oneself
恶劣	èliè	Adverse
发表	fābiǎo	Publish
发愁	fāchóu	To be worried
发达	fādá	To develop
发抖	fādǒu	Tremble
发挥	fāhuī	Develop
发明	fāmíng	Invention
发票	fāpiào	invoice
发言	fāyán	give a speech
罚款	fákuǎn	forfeit; amerce; fine
法院	fǎyuàn	Court
翻	fān	Turn
繁荣	fánróng	Boom
凡是	fánshì	All, everything
反而	fǎn’ér	Instead
反复	fǎnfù	Repeatedly
反应	fǎnyìng	reaction
反正	fǎnzhèng	anyway
方	fāng	square
方案	fāng’àn	programme
方式	fāngshì	mode
妨碍	fáng’ài	Hinder
房东	fángdōng	landlord
仿佛	fǎngfú	as if
放松	fàngsōng	Relax
非	fēi	wrong; non
肥皂	féizào	soap
肺	fèi	lung
废话	fèihuà	Crap
费用	fèiyong	Cost
分别	fēnbié	part
分布	fēnbù	distribution
分配	fēnpèi	distribution
分析	fēnxī	Analysis
纷纷	fēnfēn	one after another
奋斗	fèndòu	Struggle
愤怒	fènnù	anger
风格	fēnggé	style
风俗	fēngsú	Customs
风险	fēngxiǎn	risk
疯狂	fēngkuáng	Insane
讽刺	fěngcì	satire
否定	fǒudìng	negative
否认	fǒurèn	deny
扶	fú	hold up
幅	fú	classifier of picture
服从	fúcóng	Obey
服装	fúzhuāng	costume; dress
辅导	fǔdǎo	Coach
付款	fùkuǎn	pay
妇女	fùnǚ	Woman
复制	fùzhì	copy
改革	gǎigé	reform
改进	gǎijìn	Improvement
改善	gǎishàn	Improve
改正	gǎizhèng	correction
盖	gài	cover
概括	gàikuò	Generalization
概念	gàiniàn	concept
干脆	gāncuì	simply
感激	gǎnjī	Appreciate
感受	gǎnshòu	feel
感想	gǎnxiǎng	Feel
赶紧	gǎnjǐn	Quickly
赶快	gǎnkuài	hurry up
干活儿	gànhuór	work on a job
钢铁	gāngtiě	steel
高档	gāodàng	High-grade
高速公路	gāosùgōnglù	Expressway
搞	gǎo	get
告别	gàobié	farewell
胳膊	gēbo	Arm
鸽子	gēzi	Dove
隔壁	gébì	next door
革命	gémìng	revolution
格外	géwài	especially
个别	gèbié	individual
个人	gèrén	personal
个性	gèxìng	personality
各自	gèzì	Each
根	gēn	root
根本	gēnběn	at all
更加	gèngjiā	More
公布	gōngbù	Publish
公开	gōngkāi	open
公平	gōngpíng	fair
公寓	gōngyù	apartment
公元	gōngyuán	A.D.
公主	gōngzhǔ	princess
工厂	gōngchǎng	factory
工程师	gōngchéngshī	Engineer
工人	gōngrén	Worker
工业	gōngyè	Industry
功夫	gōngfu	Kungfu
功能	gōngnéng	function
贡献	gòngxiàn	contribution
沟通	gōutōng	Communicate
构成	gòuchéng	constitute
姑姑	gūgu	aunt
姑娘	gūniang	girl
古代	gǔdài	Ancient
古典	gǔdiǎn	classical
古老	gǔlǎo	ancient
鼓舞	gǔwǔ	Inspire
股票	gǔpiào	shares; stock
骨头	gǔtou	Bone
固定	gùdìng	fixed
固体	gùtǐ	solid
雇佣	gùyōng	hire
挂号	guàhào	Register
乖	guāi	Good behaved
拐弯	guǎiwān	Turn
怪不得	guàibude	No wonder
官	guān	officer
关闭	guānbì	close; shut
关怀	guānhuái	Care
观察	guānchá	observation
观点	guāndiǎn	viewpoint
观念	guānniàn	concept
管子	guǎnzi	pipe
冠军	guànjūn	Champion
罐头	guàntou	Can, tin
光滑	guānghuá	smooth
光临	guānglín	presence
光明	guāngmíng	light
光盘	guāngpán	CD
光荣	guāngróng	glory
广场	guǎngchǎng	square
广大	guǎngdà	Vast
广泛	guǎngfàn	widely
规矩	guīju	Rules
规律	guīlǜ	Law
规模	guīmó	scale
规则	guīzé	rule
柜台	guìtái	Counter
滚	gǔn	rolling
锅	guō	pot
国籍	guójí	nationality
国庆节	guóqìngjié	National Day
果实	guǒshí	fruit
过分	guòfèn	excessive
过敏	guòmǐn	allergy
过期	guòqī	Be overdue
哈	hā	ah
海关	hǎiguān	Customs
海鲜	hǎixiān	seafood
喊	hǎn	shout
行业	hángyè	industry
豪华	háohuá	luxury
好奇	hàoqí	Be curious
和平	hépíng	peace
何必	hébì	Why
何况	hékuàng	Not to mention
合法	héfǎ	legitimate
合理	hélǐ	reasonable
合同	hétong	contract
合影	héyǐng	Group photo
合作	hézuò	cooperation
核心	héxīn	core
恨	hèn	hate
横	héng	harsh and unreasonable; perverse
后果	hòuguǒ	Consequence
忽视	hūshì	Ignore
呼吸	hūxī	breathing
壶	hú	pot
蝴蝶	húdié	Butterfly
胡说	húshuō	Nonsense
胡同	hútòng	Hutong
胡须	húxū	beard
糊涂	hútu	Confused
花生	huāshēng	peanut
滑冰	huábīng	skating
划船	huáchuán	Rowing
华裔	huáyì	Chinese born
话题	huàtí	Topic of conversation
化学	huàxué	Chemistry
怀念	huáiniàn	miss
缓解	huǎnjiě	relieve
幻想	huànxiǎng	fantasy
慌张	huāngzhāng	flurried
黄瓜	huángguā	cucumber
黄金	huángjīn	gold
皇帝	huángdì	Emperor
皇后	huánghòu	Queen
挥	huī	Essential
灰	huī	ash
灰尘	huīchén	dust
灰心	huīxīn	Lose heart; be discouraged
恢复	huīfù	recovery
汇率	huìlǜ	exchange rate
婚礼	hūnlǐ	wedding
婚姻	hūnyīn	Marriage
活跃	huóyuè	active
火柴	huǒchái	Match
伙伴	huǒbàn	Partner
基本	jīběn	basic
机器	jīqì	machine
激烈	jīliè	fierce
肌肉	jīròu	muscle
及格	jígé	pass
集体	jítǐ	collective
集中	jízhōng	focus
急忙	jímáng	Hastily
记录	jìlù	Record
记忆	jìyì	memory
计算	jìsuàn	Calculation
系领带	jìlǐngdài	wear a tie
纪录	jìlù	Record
纪律	jìlǜ	discipline
纪念	jìniàn	memorialize
寂寞	jìmò	lonely
家庭	jiātíng	Family
家务	jiāwù	Housework
家乡	jiāxiāng	Hometown
嘉宾	jiābīn	Distinguished guest
夹子	jiāzi	Clip
甲	jiǎ	nail
假如	jiǎrú	If
假装	jiǎzhuāng	pretend
嫁	jià	get married to
价值	jiàzhí	value
驾驶	jiàshǐ	Drive
煎	jiān	Fried
肩膀	jiānbǎng	shoulder
坚决	jiānjué	firm, determined
坚强	jiānqiáng	Firm
艰巨	jiānjù	arduous
艰苦	jiānkǔ	hard
尖锐	jiānruì	Sharp
捡	jiǎn	pick up
简历	jiǎnlì	resume
简直	jiǎnzhí	simply
剪刀	jiǎndāo	scissors
健身房	jiànshēnfáng	Gym
建立	jiànlì	establish
建设	jiànshè	build
建议	jiànyì	proposal
建筑	jiànzhù	Architecture
键盘	jiànpán	keyboard
讲究	jiǎngjiu	Pay attention to; daintily
讲座	jiǎngzuò	Lecture
降落	jiàngluò	land
酱油	jiàngyóu	soy sauce
浇	jiāo	pour it over
交换	jiāohuàn	exchange
交际	jiāojì	communication
郊区	jiāoqū	Suburb
胶水	jiāoshuǐ	glue
角度	jiǎodù	angle
狡猾	jiǎohuá	cunning
教材	jiàocái	teaching material
教练	jiàoliàn	coach
教训	jiàoxùn	lesson
接触	jiēchù	Contact
接待	jiēdài	Reception
接近	jiējìn	near
接着	jiēzhe	Next
阶段	jiēduàn	stage
结实	jiēshi	strong
节	jié	section, festival
节省	jiéshěng	save
结构	jiégòu	structure
结合	jiéhé	Combination
结论	jiélùn	conclusion
结账	jiézhàng	Checkout
解放	jiěfàng	liberate
解说员	jiěshuōyuán	Narrator
届	jiè	Session
借口	jièkǒu	Excuse
戒烟	jièyān	Quit smoking
戒指	jièzhi	Ring
金属	jīnshǔ	Metal
紧	jǐn	tight
紧急	jǐnjí	urgent
谨慎	jǐnshèn	cautious
进步	jìnbù	progress
进口	jìnkǒu	Imported
近代	jìndài	Modern
尽力	jìnlì	Try the best
尽量	jìnliàng	as far as possible
精力	jīnglì	energy
经典	jīngdiǎn	classics; scriptures
经营	jīngyíng	Management
景色	jǐngsè	scenery
敬爱	jìng’ài	respect and love; esteem
酒吧	jiǔbā	Bar
救	jiù	save
救护车	jiùhùchē	Ambulance
舅舅	jiùjiu	uncle
居然	jūrán	actually
桔子	júzi	Orange
举	jǔ	lift
具备	jùbèi	Have, possess
具体	jùtǐ	specific
巨大	jùdà	huge
聚会	jùhuì	Party
俱乐部	jùlèbù	Club
据说	jùshuō	allegedly; it`s said
捐	juān	Donate
卷	juǎn	volume
决赛	juésài	Finals
决心	juéxīn	Determination
绝对	juéduì	Absolutely
角色	juésè	role
军事	jūnshì	Military
均匀	jūnyún	uniformity
卡车	kǎchē	Truck
开发	kāifā	Development
开放	kāifàng	To open up
开幕式	kāimùshì	The opening ceremony
开心	kāixīn	Happy
砍	kǎn	cut
看不起	kànbuqǐ	Despise
看来	kànlái	it seems
抗议	kàngyì	Protest
烤鸭	kǎoyā	Roasted Duck
颗	kē	pellet (measure word)
可见	kějiàn	so; it`s thus clear
可靠	kěkào	reliable
可怕	kěpà	dreadful
课程	kèchéng	curriculum
克	kè	gram
克服	kèfú	Overcome
刻苦	kèkǔ	Hardworking
客观	kèguān	objective
客厅	kètīng	A living room
空间	kōngjiān	space
恐怖	kǒngbù	terror， horrible
空闲	kòngxián	free
控制	kòngzhì	control
口味	kǒuwèi	Flavor
夸	kuā	boast, praise
会计	kuàijì	accountant
矿泉水	kuàngquánshuǐ	Mineral water
辣椒	làjiāo	Pepper, spice
蜡烛	làzhú	candle
来自	láizì	Come from
拦	lán	Stop
烂	làn	rotten
狼	láng	wolf
劳动	láodòng	labour
劳驾	láojià	Excuse me
老百姓	lǎobǎixìng	Ordinary people
老板	lǎobǎn	Boss
老实	lǎoshi	honest
老鼠	lǎoshǔ	Mouse
姥姥	lǎolao	Grandma
乐观	lèguān	optimistic
雷	léi	Thunder
类	lèi	class, category
梨	lí	pear
离婚	líhūn	divorce
厘米	límǐ	centimeter
礼拜天	lǐbàitiān	Sunday
理论	lǐlùn	theory
理由	lǐyóu	Reason
粒	lì	grain (measure word)
立方	lìfāng	cube
立即	lìjí	immediately
立刻	lìkè	immediately
力量	lìliàng	Power
利润	lìrùn	profit
利息	lìxī	accrual; interest
利益	lìyì	interest
利用	lìyòng	utilize
连忙	liánmáng	Hurriedly
连续剧	liánxùjù	serial TV drama
联合	liánhé	union
恋爱	liàn’ài	Love, in love
良好	liánghǎo	good
粮食	liángshi	foodstuff
了不起	liǎobuqǐ	Amazing
临时	línshí	temporary
铃	líng	bell
零件	língjiàn	Spare parts
零钱	língqián	Small change
零食	língshí	snacks
灵活	línghuó	flexible
领导	lǐngdǎo	Leader
领域	lǐngyù	field
流传	liúchuán	spread
浏览	liúlǎn	browse
龙	lóng	dragon
漏	lòu	leak
露	lù	dew
陆地	lùdì	land
陆续	lùxù	One after another
录取	lùqǔ	matriculate
录音	lùyīn	Sound recording
轮流	lúnliú	take turns
论文	lùnwén	paper
逻辑	luóji	logic
落后	luòhòu	backward, fall behind
骂	mà	scold
麦克风	màikèfēng	Microphone
馒头	mántou	Steamed buns
满足	mǎnzú	satisfy
毛	máo	hair
毛病	máobìng	Trouble
矛盾	máodùn	contradiction
冒险	màoxiǎn	adventure
贸易	màoyì	Trade
眉毛	méimao	eyebrow
煤炭	méitàn	coal
美术	měishù	Fine Arts
魅力	mèilì	charm
迷路	mílù	Get lost
谜语	míyǔ	Riddle
蜜蜂	mìfēng	honeybee
密切	mìqiè	close
秘密	mìmì	Secret
秘书	mìshū	secretary
棉花	miánhua	cotton
面对	miànduì	Face
面积	miànjī	The measure of area
面临	miànlín	face
苗条	miáotiao	slim
描写	miáoxiě	describe
秒	miǎo	second
民主	mínzhǔ	democratic
明确	míngquè	To make clear
明显	míngxiǎn	obvious
明信片	míngxìnpiàn	Postcard
明星	míngxīng	Star
名牌	míngpái	famous brand
名片	míngpiàn	business card
名胜古迹	míngshènggǔjì	Places of historic interest and scenic beauty
命令	mìnglìng	call; nominate
命运	mìngyùn	fate, destiny
摸	mō	feel, touch
模仿	mófǎng	imitate
模糊	móhu	vague
摩托车	mótuōchē	Motorcycle
陌生	mòshēng	strange
某	mǒu	some
目标	mùbiāo	target
目录	mùlù	Catalog
目前	mùqián	at present
木头	mùtou	wood
哪怕	nǎpà	even if
难怪	nánguài	no wonder
难看	nánkàn	ugly
脑袋	nǎodai	head
内科	nèikē	Internal medicine
嫩	nèn	tender, delicate
能干	nénggàn	capable
能源	néngyuán	energy
年代	niándài	years
年纪	niánjì	Age
念	niàn	Read
宁可	nìngkě	would rather
牛仔裤	niúzǎikù	Jeans
浓	nóng	strong
农民	nóngmín	farmer
农业	nóngyè	Agriculture
女士	nǚshì	Madam
偶然	ǒurán	accidental
拍	pāi	beat
排队	páiduì	queue; stand in a line
排球	páiqiú	Volleyball
派	pài	send
盼望	pànwàng	look forward to
赔偿	péicháng	compensate for
培养	péiyǎng	culture, foster
佩服	pèifu	Admire
配合	pèihé	Coordination
盆	pén	basin, pot
碰见	pèngjiàn	Meet
披	pī	drape over one`s shoulders
批	pī	batch
批准	pīzhǔn	Approval
皮鞋	píxié	leather shoes
疲劳	píláo	fatigue
匹	pǐ	Horse (meaure word)
片	piàn	slice
片面	piànmiàn	one-sided
飘	piāo	Gone with the wind
频道	píndào	channel
品种	pǐnzhǒng	Varieties
凭	píng	By
平	píng	flat
平常	píngcháng	Usual
平等	píngděng	equality
平方	píngfāng	square
平衡	pínghéng	balance
平静	píngjìng	calm
平均	píngjūn	Average
评价	píngjià	evaluate
破产	pòchǎn	bankruptcy
破坏	pòhuài	Destruction
迫切	pòqiè	urgent
朴素	pǔsù	simple
期待	qīdài	expect
期间	qījiān	Period
其余	qíyú	Rest
奇迹	qíjì	Miracle
启发	qǐfā	Inspire
企图	qǐtú	Attempt
企业	qǐyè	enterprise
气氛	qìfēn	atmosphere
汽油	qìyóu	gasoline
牵	qiān	Pull
谦虚	qiānxū	Modest
签字	qiānzì	Sign
前途	qiántú	future
浅	qiǎn	shallow
欠	qiàn	owe
枪	qiāng	gun
强调	qiángdiào	Emphasize
强烈	qiángliè	strong
抢	qiǎng	rob
悄悄	qiāoqiāo	quietly
瞧	qiáo	look
巧妙	qiǎomiào	clever
切	qiē	cut
亲爱	qīn’ài	Dear
亲切	qīnqiè	kind
亲自	qīnzì	personally
侵略	qīnlüè	aggression
勤奋	qínfèn	hardworking
勤劳	qínláo	industrious
青	qīng	young
青春	qīngchūn	Youth
青少年	qīngshàonián	Teenagers
轻视	qīngshì	Despise
清淡	qīngdàn	light
情景	qíngjǐng	scene
情绪	qíngxù	emotion
请求	qǐngqiú	request
庆祝	qìngzhù	Celebrate
球迷	qiúmí	fans
趋势	qūshì	trend
娶	qǔ	marry
取消	qǔxiāo	cancel
去世	qùshì	pass away
圈	quān	circle
全面	quánmiàn	comprehensive
权力	quánlì	power
权利	quánlì	right, interest
劝	quàn	persuade
缺乏	quēfá	Lack
确定	quèdìng	Determine
确认	quèrèn	confirm
燃烧	ránshāo	burning
嚷	rǎng	Shout
绕	rào	Around
热爱	rè’ài	Ardently love
热烈	rèliè	warm
热心	rèxīn	enthusiastic
人才	réncái	talented people
人口	rénkǒu	population
人类	rénlèi	Human beings
人生	rénshēng	Life
人事	rénshì	Personnel matters
人物	rénwù	character
人员	rényuán	personnel
忍不住	rěnbuzhù	Unable to bear
日常	rìcháng	daily
日程	rìchéng	schedule
日历	rìlì	calendar
日期	rìqī	Date
日用品	rìyòngpǐn	Daily Necessities
融化	rónghuà	thaw
荣幸	róngxìng	To be honored
荣誉	róngyù	Honor
如何	rúhé	How
如今	rújīn	nowadays
软件	ruǎnjiàn	Software
弱	ruò	weak
洒	sǎ	sprinkle
嗓子	sǎngzi	throat
杀	shā	kill
沙漠	shāmò	Desert
沙滩	shātān	beach
傻	shǎ	silly
晒	shài	The sun
删除	shānchú	delete
闪电	shǎndiàn	lightning
善良	shànliáng	kind; virtuous
善于	shànyú	be good at
扇子	shànzi	Fan
商品	shāngpǐn	commodity
商业	shāngyè	business
上当	shàngdàng	When
勺子	sháozi	Spoon
蛇	shé	snake
舌头	shétou	Tongue
舍不得	shěbude	Hate to part with or use
设备	shèbèi	equipment
设计	shèjì	Design
设施	shèshī	facilities
射击	shèjī	Shooting
摄影	shèyǐng	Photography
伸	shēn	stretch
深刻	shēnkè	profound
身材	shēncái	figure
身份	shēnfèn	identity
神话	shénhuà	Myth
神经	shénjīng	nerve
神秘	shénmì	mysterious
升	shēng	rise
生产	shēngchǎn	production
生动	shēngdòng	vivid
声调	shēngdiào	Tone
绳子	shéngzi	Rope
省略	shěnglüè	ellipsis
胜利	shènglì	victory
诗	shī	poetry
失眠	shīmián	insomnia
失去	shīqù	Lose
失业	shīyè	Unemployment
时代	shídài	times, epoch
时刻	shíkè	time
时髦	shímáo	Fashionable
时期	shíqī	period
时尚	shíshàng	fashion
实话	shíhuà	The truth
实践	shíjiàn	practice
实习	shíxí	Internship
实现	shíxiàn	Realization
实行	shíxíng	Implement
实验	shíyàn	Experiment
实用	shíyòng	Practical
食物	shíwù	food
石头	shítou	stone
使劲儿	shǐjìnr	exert all one’s strength
始终	shǐzhōng	Throughout
是否	shìfǒu	Whether
试卷	shìjuàn	test paper
士兵	shìbīng	soldiers
似的	shìde	Likely
事实	shìshí	Fact
事物	shìwù	Thing
事先	shìxiān	Prior
收获	shōuhuò	Harvest
收据	shōujù	receipt
手工	shǒugōng	manual
手术	shǒushù	Operation
手套	shǒutào	glove
手续	shǒuxù	procedures
手指	shǒuzhǐ	finger
受伤	shòushāng	Injured
寿命	shòumìng	Life
书架	shūjià	bookshelf
输入	shūrù	import; input
蔬菜	shūcài	Vegetables
舒适	shūshì	Comfortable
梳子	shūzi	comb
熟练	shúliàn	skilled
鼠标	shǔbiāo	mouse
属于	shǔyú	belong to
数据	shùjù	data
数码	shùmǎ	Digital
摔	shuāi	fall
甩	shuǎi	Rejection
双方	shuāngfāng	both sides
税	shuì	tax
说不定	shuōbudìng	maybe
说服	shuōfú	Persuade
撕	sī	tear
丝绸	sīchóu	silk
丝毫	sīháo	A bit
思考	sīkǎo	Reflection
思想	sīxiǎng	thought
私人	sīrén	private
似乎	sìhū	It seems that
寺庙	sìmiào	Temple
宿舍	sùshè	dormitory
随时	suíshí	at any time
碎	suì	broken
损失	sǔnshī	loss
缩短	suōduǎn	Shorten
缩小	suōxiǎo	narrow
锁	suǒ	lock
所	suǒ	place
所谓	suǒwèi	So-called
塔	tǎ	tower
台阶	táijiē	Steps
太极拳	tàijíquán	Taiji boxing
太太	tàitai	Ma’am
谈判	tánpàn	negotiation
坦率	tǎnshuài	frank
烫	tàng	Hot
桃	táo	peach
逃	táo	flee
逃避	táobì	escape
套	tào	set
特殊	tèshū	special
特意	tèyì	specially
特征	tèzhēng	Features
疼爱	téng’ài	Love dearly
提	tí	carry
提倡	tíchàng	promote
提纲	tígāng	outline
提问	tíwèn	Put questions to
题目	tímù	subject
体会	tǐhuì	Experience
体积	tǐjī	volume
体贴	tǐtiē	Considerate
体现	tǐxiàn	Reflect
体验	tǐyàn	experience
天空	tiānkōng	sky
天真	tiānzhēn	naive
田野	tiányě	Field
调皮	tiáopí	naughty
调整	tiáozhěng	adjustment
挑战	tiǎozhàn	challenge
通常	tōngcháng	usually
通讯	tōngxùn	communication
铜	tóng	copper
同时	tóngshí	meanwhile
统一	tǒngyī	Unified
统治	tǒngzhì	rule
痛苦	tòngkǔ	Pain
痛快	tòngkuài	awesome
投资	tóuzī	Investment
透明	tòumíng	transparent
突出	tūchū	prominent
土地	tǔdì	land
土豆	tǔdòu	Potato
吐	tù	spit
兔子	tùzi	Rabbit
团	tuán	group
推辞	tuīcí	Refuse
推广	tuīguǎng	Extension
推荐	tuījiàn	Recommend
退	tuì	retreat
退步	tuìbù	Backward
退休	tuìxiū	retire
歪	wāi	Crooked
外交	wàijiāo	International Relations
弯	wān	curved
完美	wánměi	perfect
完善	wánshàn	perfect
完整	wánzhěng	complete
玩具	wánjù	Toys
万一	wànyī	In case
王子	wángzǐ	prince
往返	wǎngfǎn	Return
危害	wēihài	Harm
微笑	wēixiào	Smile
威胁	wēixié	threaten
违反	wéifǎn	Violation
维护	wéihù	Maintain
围巾	wéijīn	scarf
围绕	wéirào	around
唯一	wéiyī	Only
尾巴	wěiba	tail
伟大	wěidà	great
委屈	wěiqu	suffer from injustice
委托	wěituō	Entrust
胃	wèi	stomach
位置	wèizhì	position
未必	wèibì	not necessarily
未来	wèilái	Future
卫生间	wèishēngjiān	toilet
温暖	wēnnuǎn	warm
温柔	wēnróu	Tender
闻	wén	smell
文件	wénjiàn	file
文具	wénjù	Stationery
文明	wénmíng	civilization
文学	wénxué	literature
吻	wěn	kiss
稳定	wěndìng	Stable
问候	wènhòu	To greet
卧室	wòshì	Bedroom
屋子	wūzi	House
无奈	wúnài	have no choice
无数	wúshù	Countless
武器	wǔqì	arms
武术	wǔshù	Wushu
雾	wù	Fog
物理	wùlǐ	Physics
物质	wùzhì	material
吸收	xīshōu	absorb
系	xì	department
系统	xìtǒng	system
细节	xìjié	details
戏剧	xìjù	drama
瞎	xiā	blind
吓	xià	scare
下载	xiàzài	download
鲜艳	xiānyàn	Colorful
显得	xiǎnde	Appear, seem
显然	xiǎnrán	Obviously
显示	xiǎnshì	display
县	xiàn	county
现金	xiànjīn	cash
现实	xiànshí	reality
现象	xiànxiàng	phenomenon
相处	xiāngchǔ	Get along with
相当	xiāngdāng	Quite
